Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/23/14,Bkofamerica Mobile Deposit,x,0,credit,Income,x,,
8/23/14,Dunkin Donuts,x,5.93,debit,Coffee Shops,x,,
8/23/14,Midfield Concessi,x,42.82,debit,Uncategorized,x,,
8/23/14,Newslink E,x,2.49,debit,Uncategorized,x,,
8/23/14,Shell,x,1,debit,Gas & Fuel,x,,
8/23/14,Consumer Reports,x,30,debit,Books,x,,
8/23/14,iTunes,x,2.99,debit,Music,x,,
8/23/14,GoGoAir,x,16.95,debit,Air Travel,x,,
8/23/14,Valero,x,1,debit,Gas & Fuel,x,,
8/23/14,Walgreens,x,15.62,debit,Pharmacy,x,,
8/21/14,Opodo Id Opodo,x,3.34,debit,Air Travel,x,,
8/21/14,Amazon,x,9.99,debit,Shopping,x,,
8/21/14,Dunkin Donuts,x,8.44,debit,Coffee Shops,x,,
8/21/14,Opodo Id Opodo,x,111.23,debit,Air Travel,x,,
8/20/14,Roche Brothers Mashpee,x,13.6,debit,Groceries,x,,
8/20/14,Shaw's,x,9.23,debit,Groceries,x,,
8/20/14,Transfer to INGchecking,x,61.85,debit,Transfer,x,,
8/20/14,Roche Brothers Mashpee,x,60.9,debit,Groceries,x,,
8/20/14,Amazon Video,x,3.99,debit,Movies & DVDs,x,,
8/19/14,Netflix,x,7.99,debit,Movies & DVDs,x,,
8/19/14,Roche Brothers Mashpee,x,3.03,debit,Groceries,x,,
8/18/14,Whole Foods,x,4,debit,Groceries,x,,
8/18/14,GoGoAir,x,20.95,debit,Air Travel,x,,
8/18/14,Grosvenor Hotel,x,277.4,debit,Hotel,x,,
8/18/14,Transfer to Platinum MasterCard,x,76.27,debit,Credit Card Payment,x,,
8/18/14,Hudson News,x,24.06,debit,Newspapers & Magazines,x,,
8/18/14,Dnc Travel Minne,x,5.35,debit,Travel,x,,
8/18/14,Inone Vending,x,1.65,debit,Uncategorized,x,,
8/18/14,Cafe Gratitude Sa,x,96.75,debit,Restaurants,x,,
8/18/14,Penny Ice Creamery,x,12.75,debit,Restaurants,x,,
8/18/14,Travel Insurance Policy,x,63,debit,Financial,x,,
8/15/14,Penny Ice Creamery,x,14.5,debit,Restaurants,x,,
8/15/14,Pp Lulucarpent Scotts,x,10.25,debit,Uncategorized,x,,
8/15/14,Aksmt Com Ca,x,24,debit,Uncategorized,x,,
8/14/14,Coffee Bandits,x,3.5,debit,Coffee Shops,x,,
8/14/14,Starbucks,x,2.25,debit,Coffee Shops,x,,
8/14/14,Sq Abbey,x,8.98,debit,Uncategorized,x,,
8/14/14,Aromas Ca,x,32.01,debit,Uncategorized,x,,
8/13/14,Regal Hollywood Merced,x,8.75,debit,Uncategorized,x,,
8/13/14,Panera Bread,x,11.97,debit,Fast Food,x,,
8/13/14,Sizzler Restaurant,x,16.49,debit,Restaurants,x,,
8/13/14,Regal Hollywood Merced,x,9.25,debit,Uncategorized,x,,
8/12/14,Raley's,x,2.88,debit,Groceries,x,,
8/12/14,Starbucks,x,3.75,debit,Coffee Shops,x,,
8/12/14,Starbucks,x,1.95,debit,Coffee Shops,x,,
8/11/14,Lantern Cafe,x,7.22,debit,Restaurants,x,,
8/11/14,Glacier Point Ca,x,3.25,debit,Uncategorized,x,,
8/11/14,Texaco,x,33.09,debit,Gas & Fuel,x,,
8/11/14,Opodo Id Opodo,x,1.31,debit,Air Travel,x,,
